mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
5	5	15	15	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1	-1	2	74	D5	5	51
5	5	31/2	31/2	0.5	5/8	5/8	4/4	4	1	1/8	1/8	1		1	43	G2	2	69
5	5	31/2	31/2	0.5	5/8	5/8	4/4	3	1	1/8	1/8	1		5	59	B3	3	62
5	5	16	16	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		3	45	A2	2	70
5	5	16	16	0.5	3/4	3/4	4/4	3	1	1/8	1/8	1		7	61	C#4	4	63
5	5	16	16	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	57
5	5	16	16	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	52
5	5	33/2	33/2	0.5	7/8	7/8	4/4	3	1	1/8	1/8	1		2	62	D4	4	64
5	5	33/2	33/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		6	66	F#4	4	58
6	6	17	17	1.0	0	0	4/4	4	1	1/4	1/4	1		4	40	E2	2	86
6	6	17	17	0.5	0	0	4/4	3	1	1/8	1/8	1		4	64	E4	4	81
6	6	17	17	1.0	0	0	4/4	2	1	1/4	1/4	1		1	67	G4	4	76
6	6	17	17	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	71
6	6	35/2	35/2	0.5	1/8	1/8	4/4	3	1	1/8	1/8	1		2	62	D4	4	82
6	6	18	18	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		6	42	F#2	2	87
6	6	18	18	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		7	61	C#4	4	83
6	6	18	18	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		6	66	F#4	4	77
6	6	18	18	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	72
6	6	37/2	37/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		4	64	E4	4	78
6	6	19	19	0.5	1/2	1/2	4/4	4	1	1/8	1/8	1		1	43	G2	2	88
6	6	19	19	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		5	59	B3	3	84
6	6	19	19	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	79
6	6	19	19	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		5	71	B4	4	73
6	6	39/2	39/2	0.5	5/8	5/8	4/4	4	1	1/8	1/8	1		3	45	A2	2	89
6	6	39/2	39/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	74
6	6	20	20	0.5	3/4	3/4	4/4	4	1	1/8	1/8	1		5	47	B2	2	90
6	6	20	20	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		5	59	B3	3	85
6	6	20	20	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	67	G4	4	80
6	6	20	20	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	75
6	6	41/2	41/2	0.5	7/8	7/8	4/4	4	1	1/8	1/8	1		7	49	C#3	3	91
7	7	21	21	3.0	0	0	4/4	4	1	3/4	1/2	3/2		2	50	D3	3	100
7	7	21	21	3.0	0	0	4/4	3	1	3/4	1/2	3/2		3	57	A3	3	97
7	7	21	21	3.0	0	0	4/4	2	1	3/4	1/2	3/2		6	66	F#4	4	94
7	7	21	21	3.0	0	0	4/4	1	1	3/4	1/2	3/2		2	74	D5	5	92
7	7	24	24	0.5	3/4	3/4	4/4	4	1	1/8	1/8	1		2	50	D3	3	101
7	7	24	24	0.5	3/4	3/4	4/4	3	1	1/8	1/8	1		2	62	D4	4	98
7	7	24	24	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		6	66	F#4	4	95
7	7	24	24	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	93
7	7	49/2	49/2	0.5	7/8	7/8	4/4	4	1	1/8	1/8	1		7	49	C#3	3	102
7	7	49/2	49/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		4	64	E4	4	96
