piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus	staff_4_instrument	staff_4_ambitus	staff_5_instrument	staff_5_ambitus	staff_6_instrument	staff_6_ambitus	staff_7_instrument	staff_7_ambitus	staff_8_instrument	staff_8_ambitus
056	1: 4/4	1: 0	17	16	65.0	17	16	65.0		260.0	280	100	0	0	0	J. S. Bach	"Chorale 56:
Christum wir sollen loben schon"		"Chorale 56:
Christum wir sollen loben schon"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/056.mscz	False	38-74 (D2-D5)	mxl	Piano	59-74 (B3-D5)	Piano	38-67 (D2-G4)												
057	1: 4/4	1: 0	9	8	33.0	9	8	33.0		132.0	139	45	0	0	0	J. S. Bach	"Chorale 57:
O Traurigkeit, o Herzeleid!"		"Chorale 57:
O Traurigkeit, o Herzeleid!"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/057.mscz	False	43-77 (G2-F5)	mxl	Piano	60-77 (C4-F5)	Piano	43-67 (G2-G4)												
058	1: 4/4	1: 0	21	20	76.0	28	27	100.0		304.0	371	125	0	0	0	J. S. Bach	"Chorale 58:
Herzlich lieb hab ich dich, o Herr"		"Chorale 58:
Herzlich lieb hab ich dich, o Herr"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/058.mscz	False	43-79 (G2-G5)	mxl	Piano	62-79 (D4-G5)	Piano	43-67 (G2-G4)												
059	1: 4/4	1: 0	12	11	44.0	12	11	44.0		176.0	189	64	0	0	0	J. S. Bach	"Chorale 59:
Herzliebster Jesu, was hast du verbrochen"		"Chorale 59:
Herzliebster Jesu, was hast du verbrochen"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/059.mscz	False	41-75 (F2-Eb5)	mxl	Piano	57-75 (A3-Eb5)	Piano	41-67 (F2-G4)												
060	1: 4/4	1: 0	14	13	48.0	19	18	64.0		184.0	175	58	0	0	0	J. S. Bach	"Chorale 60:
O Gott, du frommer Gott (melody #4)"		"Chorale 60:
O Gott, du frommer Gott (melody #4)"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/060.mscz	False	45-76 (A2-E5)	mxl	Piano	59-76 (B3-E5)	Piano	45-66 (A2-F#4)												
061	1: 4/4	1: 0	16	16	64.0	16	16	64.0		256.0	277	102	0	0	0	J. S. Bach	"Chorale 61:
Jesu Kreuz, Leiden und Pein"		"Chorale 61:
Jesu Kreuz, Leiden und Pein"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/061.mscz	False	39-72 (Eb2-C5)	mxl	Piano	56-72 (Ab3-C5)	Piano	39-63 (Eb2-Eb4)												
062	1: 4/4	1: 0	11	10	37.0	17	16	58.0		140.0	151	49	0	0	0	J. S. Bach	"Chorale 62:
Wer nur den lieben Gott lässt walten"		"Chorale 62:
Wer nur den lieben Gott lässt walten"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/062.mscz	False	42-78 (F#2-F#5)	mxl	Piano	61-78 (C#4-F#5)	Piano	42-66 (F#2-F#4)												
063	1: 4/4	1: 0	13	12	48.0	13	12	48.0		192.0	206	67	0	0	0	J. S. Bach	"Chorale 63:
O Welt, ich muss dich lassen"		"Chorale 63:
O Welt, ich muss dich lassen"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/063.mscz	False	45-76 (A2-E5)	mxl	Piano	59-76 (B3-E5)	Piano	45-66 (A2-F#4)												
064	1: 4/4	1: 0	13	13	52.0	17	17	68.0		208.0	225	83	0	0	0	J. S. Bach	"Chorale 64:
Freu dich sehr, o meine Seele"		"Chorale 64:
Freu dich sehr, o meine Seele"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/064.mscz	False	38-76 (D2-E5)	mxl	Piano	57-76 (A3-E5)	Piano	38-64 (D2-E4)												
065	1: 4/4	1: 0	12	11	40.0	17	16	56.0		160.0	193	66	0	0	0	J. S. Bach	"Chorale 65:
Was Gott tut, das ist wohlgetan"		"Chorale 65:
Was Gott tut, das ist wohlgetan"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/065.mscz	False	43-76 (G2-E5)	mxl	Piano	59-76 (B3-E5)	Piano	43-64 (G2-E4)												
066	1: 4/4	1: 0	16	15	56.0	21	20	72.0		224.0	279	96	0	0	0	J. S. Bach	"Chorale 66:
Christ unser Herr zum Jordan kam"		"Chorale 66:
Christ unser Herr zum Jordan kam"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/066.mscz	False	38-76 (D2-E5)	mxl	Piano	57-76 (A3-E5)	Piano	38-64 (D2-E4)												
067	1: 4/4	1: 0	13	13	52.0	17	17	68.0		208.0	218	72	0	0	0	J. S. Bach	"Chorale 67:
Freu dich sehr, o meine Seele"		"Chorale 67:
Freu dich sehr, o meine Seele"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/067.mscz	False	40-76 (E2-E5)	mxl	Piano	57-76 (A3-E5)	Piano	40-62 (E2-D4)												
068	1: 4/4	1: 0	10	9	36.0	10	9	36.0		140.0	182	70	0	0	0	J. S. Bach	"Chorale 68:
Wenn wir in höchsten Nöten sein"		"Chorale 68:
Wenn wir in höchsten Nöten sein"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/068.mscz	False	41-72 (F2-C5)	mxl	Piano	55-72 (G3-C5)	Piano	41-62 (F2-D4)												
069	1: 4/4	1: 0	25	24	96.0	25	24	96.0		368.0	436	157	0	0	0	J. S. Bach	"Chorale 69:
Komm, Heiliger Geist, Herre Gott"		"Chorale 69:
Komm, Heiliger Geist, Herre Gott"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/069.mscz	False	43-76 (G2-E5)	mxl	Piano	57-76 (A3-E5)	Piano	43-62 (G2-D4)												
070	1: 4/4	1: 0	22	21	81.0	29	28	105.0		316.0	351	133	0	0	0	J. S. Bach	"Chorale 70:
Gott sei gelobet und gebenedeiet"		"Chorale 70:
Gott sei gelobet und gebenedeiet"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/070.mscz	False	36-74 (C2-D5)	mxl	Piano	55-74 (G3-D5)	Piano	36-65 (C2-F4)												
071	1: 4/4	1: 0	15	14	52.0	20	19	68.0		208.0	266	98	0	0	0	J. S. Bach	"Chorale 71:
Ich ruf zu dir, Herr Jesu Christ"		"Chorale 71:
Ich ruf zu dir, Herr Jesu Christ"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/071.mscz	False	38-76 (D2-E5)	mxl	Piano	57-76 (A3-E5)	Piano	38-64 (D2-E4)												
072	1: 4/4	1: 0	9	8	33.0	9	8	33.0		132.0	164	57	0	0	0	J. S. Bach	"Chorale 72:
Erhalt uns, Herr, bei deinem Wort"		"Chorale 72:
Erhalt uns, Herr, bei deinem Wort"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/072.mscz	False	43-77 (G2-F5)	mxl	Piano	62-77 (D4-F5)	Piano	43-67 (G2-G4)												
073	1: 4/4	1: 0	13	12	44.0	18	17	60.0		176.0	210	70	0	0	0	J. S. Bach	"Chorale 73:
Herr Jesu Christ, du höchstes Gut"		"Chorale 73:
Herr Jesu Christ, du höchstes Gut"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/073.mscz	False	41-74 (F2-D5)	mxl	Piano	58-74 (Bb3-D5)	Piano	41-67 (F2-G4)												
074	1: 4/4	1: 0	14	13	48.0	19	18	64.0		192.0	192	66	0	0	0	J. S. Bach	"Chorale 74:
Befiehl du deine Wege (melody #1)"		"Chorale 74:
Befiehl du deine Wege (melody #1)"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/074.mscz	False	43-79 (G2-G5)	mxl	Piano	62-79 (D4-G5)	Piano	43-69 (G2-A4)												
075	1: 4/4	1: 0	12	11	44.0	12	11	44.0		172.0	188	68	0	0	0	J. S. Bach	"Chorale 75:
Das walt mein Gott, Vater, Sohn und heiliger Geist"		"Chorale 75:
Das walt mein Gott, Vater, Sohn und heiliger Geist"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/075.mscz	False	36-72 (C2-C5)	mxl	Piano	57-72 (A3-C5)	Piano	36-62 (C2-D4)												
076	1: 4/4	1: 0	14	14	56.0	19	19	76.0		224.0	238	87	0	0	0	J. S. Bach	"Chorale 76:
Freu dich sehr, o meine Seele"		"Chorale 76:
Freu dich sehr, o meine Seele"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/076.mscz	False	38-76 (D2-E5)	mxl	Piano	57-76 (A3-E5)	Piano	38-66 (D2-F#4)												
077	1: 4/4	1: 0	13	12	48.0	13	12	48.0		188.0	238	82	0	0	0	J. S. Bach	"Chorale 77:
In dich hab ich gehoffet, Herr"		"Chorale 77:
In dich hab ich gehoffet, Herr"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/077.mscz	False	45-78 (A2-F#5)	mxl	Piano	61-78 (C#4-F#5)	Piano	45-66 (A2-F#4)												
078	1: 4/4	1: 0	12	11	44.0	12	11	44.0		176.0	193	67	0	0	0	J. S. Bach	"Chorale 78:
Herzliebster Jesu, was hast du verbrochen"		"Chorale 78:
Herzliebster Jesu, was hast du verbrochen"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/078.mscz	False	42-79 (F#2-G5)	mxl	Piano	61-79 (C#4-G5)	Piano	42-64 (F#2-E4)												
079	1: 3/4	1: 0	24	24	72.0	24	24	72.0		288.0	230	70	0	0	0	J. S. Bach	"Chorale 79:
Heut triumphieret Gottes Sohn"		"Chorale 79:
Heut triumphieret Gottes Sohn"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/079.mscz	False	45-79 (A2-G5)	mxl	Piano	62-79 (D4-G5)	Piano	45-65 (A2-F4)												
080	1: 4/4	1: 0	14	13	48.0	19	18	64.0		192.0	195	65	0	0	0	J. S. Bach	"Chorale 80:
Befiehl du deine Wege (melody #1)"		"Chorale 80:
Befiehl du deine Wege (melody #1)"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/080.mscz	False	42-76 (F#2-E5)	mxl	Piano	59-76 (B3-E5)	Piano	42-66 (F#2-F#4)												
081	1: 4/4	1: 0	17	17	68.0	17	17	68.0		272.0	251	80	0	0	0	J. S. Bach	"Chorale 81:
Christus, der uns selig macht"		"Chorale 81:
Christus, der uns selig macht"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/081.mscz	False	41-76 (F2-E5)	mxl	Piano	57-76 (A3-E5)	Piano	41-65 (F2-F4)												
082	1: 4/4	1: 0	19	18	75.0	19	18	75.0		264.0	238	72	0	0	0	J. S. Bach	"Chorale 82:
O großer Gott von Macht"		"Chorale 82:
O großer Gott von Macht"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/082.mscz	False	41-74 (F2-D5)	mxl	Piano	60-74 (C4-D5)	Piano	41-65 (F2-F4)												
083	1: 4/4	1: 0	16	16	64.0	16	16	64.0		256.0	256	82	0	0	0	J. S. Bach	"Chorale 83:
Jesu Kreuz, Leiden und Pein"		"Chorale 83:
Jesu Kreuz, Leiden und Pein"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/083.mscz	False	40-78 (E2-F#5)	mxl	Piano	61-78 (C#4-F#5)	Piano	40-69 (E2-A4)												
084	1: 4/4	1: 0	15	14	56.0	15	14	56.0		224.0	282	96	0	0	0	J. S. Bach	"Chorale 84:
Nun bitten wir den Heiligen Geist"		"Chorale 84:
Nun bitten wir den Heiligen Geist"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/084.mscz	False	40-78 (E2-F#5)	mxl	Piano	57-78 (A3-F#5)	Piano	40-64 (E2-E4)												
085	1: 4/4	1: 0	17	16	64.0	17	16	64.0		236.0	239	79	0	0	0	J. S. Bach	"Chorale 85:
O Gott, du frommer Gott (melody #3)"		"Chorale 85:
O Gott, du frommer Gott (melody #3)"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/085.mscz	False	40-78 (E2-F#5)	mxl	Piano	59-78 (B3-F#5)	Piano	40-66 (E2-F#4)												
086	1: 4/4	1: 0	16	15	56.0	23	22	80.0		220.0	238	84	0	0	0	J. S. Bach	"Chorale 86:
Wie schön leuchtet der Morgenstern"		"Chorale 86:
Wie schön leuchtet der Morgenstern"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/086.mscz	False	38-74 (D2-D5)	mxl	Piano	57-74 (A3-D5)	Piano	38-66 (D2-F#4)												
087	1: 4/4	1: 0	13	13	54.0	22	22	92.0		200.0	175	60	0	0	0	J. S. Bach	"Chorale 87:
Du geballtes Weltgebäude"		"Chorale 87:
Du geballtes Weltgebäude"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/087.mscz	False	36-75 (C2-Eb5)	mxl	Piano	55-75 (G3-Eb5)	Piano	36-64 (C2-E4)												
088	1: 4/4	1: 0	14	13	48.0	19	18	64.0		192.0	196	62	0	0	0	J. S. Bach	"Chorale 88:
Helft mir Gotts Güte preisen"		"Chorale 88:
Helft mir Gotts Güte preisen"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/088.mscz	False	43-76 (G2-E5)	mxl	Piano	57-76 (A3-E5)	Piano	43-65 (G2-F4)												
089	1: 4/4	1: 0	14	13	48.0	19	18	64.0		192.0	201	67	0	0	0	J. S. Bach	"Chorale 89:
Befiehl du deine Wege (melody #1)"		"Chorale 89:
Befiehl du deine Wege (melody #1)"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/089.mscz	False	42-76 (F#2-E5)	mxl	Piano	59-76 (B3-E5)	Piano	42-67 (F#2-G4)												
090	1: 3/4	1: 0	13	13	39.0	18	18	54.0		148.0	150	49	0	0	0	J. S. Bach	"Chorale 90:
Hast du denn, Jesu, dein Angesicht gänzlich verborgen"		"Chorale 90:
Hast du denn, Jesu, dein Angesicht gänzlich verborgen"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/090.mscz	False	46-79 (Bb2-G5)	mxl	Piano	58-79 (Bb3-G5)	Piano	46-67 (Bb2-G4)												
091	1: 4/4	1: 0	28	27	108.0	28	27	108.0		432.0	471	169	0	0	0	J. S. Bach	"Chorale 91:
Verleih uns Frieden gnädiglich"		"Chorale 91:
Verleih uns Frieden gnädiglich"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/091.mscz	False	40-76 (E2-E5)	mxl	Piano	61-76 (C#4-E5)	Piano	40-66 (E2-F#4)												
092	1: 4/4	1: 0	13	12	44.0	18	17	60.0		176.0	207	72	0	0	0	J. S. Bach	"Chorale 92:
Herr Jesu Christ, du höchstes Gut"		"Chorale 92:
Herr Jesu Christ, du höchstes Gut"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/092.mscz	False	45-78 (A2-F#5)	mxl	Piano	61-78 (C#4-F#5)	Piano	45-67 (A2-G4)												
093	1: 3/4	1: 0	17	16	49.0	17	16	49.0		196.0	151	48	0	0	0	J. S. Bach	"Chorale 93:
Nun lasst uns Gott dem Herren"		"Chorale 93:
Nun lasst uns Gott dem Herren"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/093.mscz	False	46-75 (Bb2-Eb5)	mxl	Piano	62-75 (D4-Eb5)	Piano	46-63 (Bb2-Eb4)												
094	1: 4/4	1: 0	11	10	40.0	11	10	40.0		156.0	179	56	0	0	0	J. S. Bach	"Chorale 94:
Warum betrübst du dich, mein Herz"		"Chorale 94:
Warum betrübst du dich, mein Herz"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/094.mscz	False	43-74 (G2-D5)	mxl	Piano	62-74 (D4-D5)	Piano	43-67 (G2-G4)												
095	1: 4/4	1: 0	12	12	48.0	16	16	64.0		192.0	209	70	0	0	0	J. S. Bach	"Chorale 95:
Werde munter mein Gemüte"		"Chorale 95:
Werde munter mein Gemüte"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/095.mscz	False	46-79 (Bb2-G5)	mxl	Piano	62-79 (D4-G5)	Piano	46-65 (Bb2-F4)												
096	1: 4/4	1: 0	13	13	52.0	19	19	76.0		208.0	220	81	0	0	0	J. S. Bach	"Chorale 96:
Jesu, meine Freude"		"Chorale 96:
Jesu, meine Freude"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/096.mscz	False	40-77 (E2-F5)	mxl	Piano	57-77 (A3-F5)	Piano	40-65 (E2-F4)												
097	1: 4/4	1: 0	16	15	60.0	16	15	60.0		240.0	252	90	0	0	0	J. S. Bach	"Chorale 97:
Nun bitten wir den Heiligen Geist"		"Chorale 97:
Nun bitten wir den Heiligen Geist"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/097.mscz	False	40-78 (E2-F#5)	mxl	Piano	57-78 (A3-F#5)	Piano	40-64 (E2-E4)												
098	1: 4/4	1: 0	14	13	48.0	19	18	64.0		192.0	194	65	0	0	0	J. S. Bach	"Chorale 98:
Befiehl du deine Wege (melody #1)"		"Chorale 98:
Befiehl du deine Wege (melody #1)"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/098.mscz	False	38-76 (D2-E5)	mxl	Piano	61-76 (C#4-E5)	Piano	38-66 (D2-F#4)												
099	1: 4/4	1: 0	14	13	48.0	19	18	64.0		192.0	195	67	0	0	0	J. S. Bach	"Chorale 99:
Helft mir Gotts Güte preisen"		"Chorale 99:
Helft mir Gotts Güte preisen"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/099.mscz	False	44-76 (G#2-E5)	mxl	Piano	61-76 (C#4-E5)	Piano	44-67 (G#2-G4)												
1-120	1: 3/4, 24: 4/4, 82: 3/4, 121: 4/4, 191: 3/4, 208: 4/4, 213: 3/4, 230: 4/4, 296: 3/4, 314: 4/4, 736: 3/4, 752: 4/4, 1112: 3/4, 1136: 4/4, 1291: 3/4, 1304: 4/4, 1345: 3/4, 1362: 4/4, 1469: 3/4, 1491: 4/4, 1580: 3/4, 1608: 4/4, 1689: 3/4, 1727: 4/4	1: 1, 24: 3, 39: 1, 51: 4, 63: 1, 82: 3, 121: -1, 130: -3, 150: 1, 164: 0, 248: 1, 264: 0, 277: 2, 296: 1, 327: -1, 337: 2, 351: 0, 365: -3, 380: 0, 394: 2, 408: -3, 421: -1, 433: -2, 445: 2, 453: 1, 478: 0, 490: 3, 504: 0, 519: 3, 527: 0, 536: 3, 551: 0, 563: -3, 573: 1, 585: 0, 610: 3, 621: 4, 638: 2, 671: -1, 684: 0, 707: -1, 720: 3, 736: -2, 752: 1, 774: 2, 824: -2, 836: -3, 852: 0, 861: 2, 875: 3, 888: 1, 913: 0, 929: 2, 940: 1, 953: -1, 963: 1, 988: 0, 1010: 1, 1025: -2, 1047: -1, 1073: 1, 1087: 3, 1100: 2, 1112: 0, 1153: -1, 1172: 3, 1203: 4, 1220: 2, 1236: -2, 1249: 2, 1263: 0, 1277: 2, 1291: -2, 1304: 3, 1332: 2, 1345: -2, 1385: -1, 1398: 3, 1414: 2, 1428: 0, 1442: -2, 1469: 1, 1491: -2, 1504: 2, 1527: 3, 1543: -3, 1580: -2, 1621: 0, 1633: 2, 1644: -3, 1661: 0, 1675: 2, 1727: -4, 1740: -2, 1771: 2	1784	14	6308.0	3569	3564	12620.0	[[[626], [627]]]	25022.5	27121	9235	0	0	0	J. S. Bach	Chorale harmonisation 								2023-06-21	Linux	http://musescore.com/user/11015626/scores/3117011		4.0.2	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Source	Bach,_Johann_Sebastian/Source/1-120.mscz	False	36-81 (C2-A5)	mxl		54-81 (F#3-A5)		36-69 (C2-A4)												
100	1: 4/4	1: 0	15	14	52.0	20	19	68.0		208.0	239	85	0	0	0	J. S. Bach	"Chorale 100:
Durch Adams Fall ist ganz verderbt"		"Chorale 100:
Durch Adams Fall ist ganz verderbt"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/100.mscz	False	39-74 (Eb2-D5)	mxl	Piano	57-74 (A3-D5)	Piano	39-62 (Eb2-D4)												
101	1: 4/4	1: 0	12	11	40.0	17	16	56.0		160.0	174	57	0	0	0	J. S. Bach	"Chorale 101:
Herr Christ, der einge Gottessohn"		"Chorale 101:
Herr Christ, der einge Gottessohn"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/101.mscz	False	41-77 (F2-F5)	mxl	Piano	60-77 (C4-F5)	Piano	41-67 (F2-G4)												
102	1: 3/4	1: 0	22	22	66.0	30	30	90.0		264.0	195	51	0	0	0	J. S. Bach	"Chorale 102:
Ermuntre dich, mein schwacher Geist"		"Chorale 102:
Ermuntre dich, mein schwacher Geist"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/102.mscz	False	43-79 (G2-G5)	mxl	Piano	59-79 (B3-G5)	Piano	43-64 (G2-E4)												
103	1: 4/4	1: 0	13	12	48.0	13	12	48.0		192.0	206	65	0	0	0	J. S. Bach	"Chorale 103:
O Welt, ich muss dich lassen"		"Chorale 103:
O Welt, ich muss dich lassen"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/103.mscz	False	43-77 (G2-F5)	mxl	Piano	60-77 (C4-F5)	Piano	43-65 (G2-F4)												
104	1: 4/4	1: 0	11	10	36.0	17	16	56.0		144.0	165	56	0	0	0	J. S. Bach	"Chorale 104:
Wer nur den lieben Gott lässt walten"		"Chorale 104:
Wer nur den lieben Gott lässt walten"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/104.mscz	False	42-79 (F#2-G5)	mxl	Piano	61-79 (C#4-G5)	Piano	42-67 (F#2-G4)												
105	1: 4/4	1: 0	12	11	44.0	12	11	44.0		176.0	187	62	0	0	0	J. S. Bach	"Chorale 105:
Herzliebster Jesu, was hast du verbrochen"		"Chorale 105:
Herzliebster Jesu, was hast du verbrochen"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/105.mscz	False	47-79 (B2-G5)	mxl	Piano	59-79 (B3-G5)	Piano	47-67 (B2-G4)												
106	1: 4/4	1: 0	16	16	64.0	16	16	64.0		256.0	235	71	0	0	0	J. S. Bach	"Chorale 106:
Jesu Kreuz, Leiden und Pein"		"Chorale 106:
Jesu Kreuz, Leiden und Pein"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/106.mscz	False	45-78 (A2-F#5)	mxl	Piano	61-78 (C#4-F#5)	Piano	45-66 (A2-F#4)												
