mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
16	16	40	1.5	0	0	3/4	1	1	3/8		1/4	3/2		-1	77	F5	5	179
16	16	41	0.5	1/4	1/4	3/4	2	2	1/8		1/8	1		1	55	G3	3	189
16	16	83/2	0.5	3/8	3/8	3/4	2	2	1/8		1/8	1		-1	53	F3	3	190
16	16	83/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		2	62	D4	4	186
16	16	83/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	180
16	16	83/2	0.5	3/8	3/8	3/4	1	2	1/8		1/8	1		-2	70	Bb4	4	183
16	16	42	0.5	1/2	1/2	3/4	2	2	1/8		1/8	1		-3	51	Eb3	3	191
16	16	42	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	187
16	16	42	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		-2	70	Bb4	4	184
16	16	42	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	1	79	G5	5	181
16	16	85/2	0.5	5/8	5/8	3/4	2	2	1/8		1/8	1		2	50	D3	3	192
17	17	43	1.0	0	0	3/4	2	2	1/4		1/4	1		-3	51	Eb3	3	206
17	17	43	1.0	0	0	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	202
17	17	43	1.0	0	0	3/4	1	2	1/4		1/4	1		-2	70	Bb4	4	199
17	17	43	0.5	0	0	3/4	1	1	1/8		1/8	1	-1	1	79	G5	5	193
17	17	87/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-1	77	F5	5	194
17	17	44	0.0	1/4	1/4	3/4	1	1	0	appoggiatura	1/8	1		-3	75	Eb5	5	195
17	17	44	1.0	1/4	1/4	3/4	2	2	1/4		1/4	1		-1	53	F3	3	207
17	17	44	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	65	F4	4	203
17	17	44	1.0	1/4	1/4	3/4	1	2	1/4		1/4	1		-2	70	Bb4	4	200
17	17	44	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		2	74	D5	5	196
17	17	45	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		-1	41	F2	2	208
17	17	45	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		-3	63	Eb4	4	204
17	17	45	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		3	69	A4	4	201
17	17	45	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		0	72	C5	5	197
17	17	91/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		2	62	D4	4	205
17	17	91/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	198
18	18	46	2.0	0	0	3/4	2	2	1/2		1/2	1		-2	46	Bb2	2	212
18	18	46	2.0	0	0	3/4	2	1	1/2		1/2	1		2	62	D4	4	211
18	18	46	2.0	0	0	3/4	1	2	1/2		1/2	1		-1	65	F4	4	210
18	18	46	2.0	0	0	3/4	1	1	1/2		1/2	1		-2	70	Bb4	4	209
