Riemenschneider,krn_title,krn_file,ms_file,dcml_file,bwv,BWV,D,B,CPE,R,Text,Text Author,Tune,Tune Composer,Zahn,Liturgical Occasion,Other Settings (BWV)
120,"Was mein Gott will, das g'scheh allzeit",chor120.krn,120/short_score.mxl,,103.6,103.6,102,120 =348,120,120 =349,"Barmherzger Vater, höchster Gott (9)","Gerhardt, Paul","Was mein Gott will, das gscheh allzeit",Antwerp 1540*,7568,Jubilate (3rd Sunday after Easter),"6 (65.7, 72.6, 92.9, 111.6, 144.6, 244.25)"
121,"Werde munter, mein Gemüte",chor121.krn,121/short_score.mxl,,244.40,244.40,139,121,121,121,Werde munter mein Gemüte (6),"Rist, Johann",Werde munter mein Gemüte,"Schop, Johann",6551,Good Friday,"6 (55.5, 146.8, 147.6=147.10, 154.3, 359, 360)"
122,Ist Gott mein Schild und Helfersmann,chor122.krn,122/short_score.mxl,,85.6,85.6,106,122,122,122,Ist Gott mein Schild und Helfersmann (4),"Homburg, Ernst Christoph",Ist Gott mein Schild und Helfersmann,Dresden 1694,2542,Misericordias Domini,0
123,Helft mir Gotts Güte preisen,chor123.krn,123/short_score.mxl,,183.5,183.5,,123,123,123,Zeuch ein zu deinen Toren (5),"Gerhardt, Paul",Helft mir Gotts Güte preisen,Anonymous,5267,Exaudi (Sunday after Ascension),"2 (16.6, 28.6)"
124,"Auf, auf, mein Herz, und du mein ganzer Sinn",chor124.krn,124/short_score.mxl,,268,268,,124,124,124,"Auf, auf, mein Herz, und du, mein ganzer Sinn","Birken, Sigmund von","Auf, auf, mein Herz, und du, mein ganzer Sinn","Staden, Johann",824,Unknown,0
125,Allein Gott in der Höh sei Ehr,chor125.krn,125/short_score.mxl,,104.6,104.6,,125 =325,125,125 =326,Der Herr ist mein getreuer Hirt (1),"Becker, Cornelius",Allein Gott in der Höh sei Ehr,"Decius, Nikolaus*",4457,Misericordias Domini,"2 (112.5, 260)"
126,Durch Adams Fall ist ganz verderbt,chor126.krn,126/short_score.mxl,,18.5,(18.5),,126 =100,126,126 =100,Durch Adams Fall ist ganz verderbt (8),"Spengler, Lazarus",Durch Adams Fall ist ganz verderbt,Wittenberg 1529,7549,Sexagesima,0
127,Dies sind die heil'gen zehn Gebot,chor127.krn,127/short_score.mxl,,298,298,,127,127,127,Dies sind die heilgen zehn Gebot,"Luther, Martin",In Gottes Namen fahren wir,Erfurt 1524*,1951,Unknown,0
128,Alles ist an Gottes Segen,chor128.krn,128/short_score.mxl,,263,263,,128,128,128,Alles ist an Gottes Segen,Nürnberg 1676,Alles ist an Gottes Segen,"Löhner, Johann",3838ff,Unknown,0
129,Keinen hat Gott verlassen,chor129.krn,129/short_score.mxl,,369,369,,129,129,129,Keinen hat Gott verlassen,Anonymous,Keinen hat Gott verlassen,Berlin 1640*,5394,Unknown,0
130,Mein Seele erhebet den Herrn,chor130.krn,130/short_score.mxl,,324,324,,130,130,130,Meine Seel erhebt den Herren [The German Magnificat],Luke 1:46ff,Meine Seel erhebt den Herren [The German Magnificat],Wittenberg 1535*,7372,Unknown,"2 (10.7, 323)"
131,"Liebester Jesu, wir sind hier",chor131.krn,131/short_score.mxl,,373,373,,131 =327,131,131 =328,"Liebster Jesu, wir sind hier","Clausnizer, Tobias","Liebster Jesu, wir sind hier","Briegel, Wolfgang Carl*",3498,Unknown,0
