Riemenschneider,krn_title,krn_file,ms_file,dcml_file,bwv,BWV,D,B,CPE,R,Text,Text Author,Tune,Tune Composer,Zahn,Liturgical Occasion,Other Settings (BWV)
347,"Was Gott tut, das ist wohlgetan",chor347.krn,347/short_score.mxl,,250,250,,346,346,347,"Was Gott tut, das ist wohlgetan","Rodigast, Samuel","Was Gott tut, das ist wohlgetan","Gastorius, Severus",5629,Wedding,"6 (12.7, 69a.6, 75.7=75.14, 99.6, 100.6, 144.3)"
348,"Meinen Jesum laß ich nicht, weil",chor348.krn,348/short_score.mxl,,70.11,70.11,,347,347,348,Meinen Jesum lass ich nicht (5),"Keymann, Christian",Meinen Jesum lass ich nicht,"Hammerschmidt, Andreas",3449,26th Sunday after Trinity,"5 (124.6, 154.8, 157.5, 244b.29, 380)"
349,Ich hab in Gottes Herz und Sinn,chor349.krn,349/short_score.mxl,,103.6,(103.6),(102),348 =120,348,349 =120,"Barmherzger Vater, höchster Gott","Gerhardt, Paul","Was mein Gott will, das gscheh allzeit",Antwerp 1540*,7568,Jubilate (3rd Sunday after Easter),"6 (65.7, 72.6, 92.9, 111.6, 144.6, 244.25)"
350,"Jesu, meiner Freuden Freude",chor350.krn,350/short_score.mxl,,360,360,104,349,349,350,"Jesu, meiner Seelen Wonne","Jahn, Martin",Werde munter mein Gemüte,"Schop, Johann",6551,Unknown,"6 (55.5, 146.8, 147.6=147.10, 154.3, 244.40, 359)"
351,Wenn mein Stündlein vorhanden ist,chor351.krn,351/short_score.mxl,,430,430,97,350,350,351,Wenn mein Stündlein vorhanden ist,"Herman, Nikolaus",Wenn mein Stündlein vorhanden ist,Frankfurt/Main 1569,4482ab,Unknown,"4 (31.9, 95.7, 428, 429)"
352,Es woll' uns Gott genädig sein,chor352.krn,352/short_score.mxl,,312,312,99,351,351,352,Es woll uns Gott genädig sein,"Luther, Martin",Es woll uns Gott genädig sein,"Greitter, Matthias",7247,Unknown,"3 (69.6, 76.7=76.14, 311)"
353,Der Herr ist mein getreuer Hirt,chor353.krn,353/short_score.mxl,,112.5,(112.5),(101),352 =312,352,353 =313,Der Herr ist mein getreuer Hirt,"Becker, Cornelius",Allein Gott in der Höh sei Ehr,"Decius, Nikolaus*",4457,Misericordias Domini (2nd Sunday after Easter),"2 (104.6, 260)"
354,Sei Lob und Ehr dem höchsten Gut,chor354.krn,354/short_score.mxl,,117.4,(117.4 =117.9),(1= 100),353 =248,353,354 =248,Sei Lob und Ehr dem höchsten Gut,"Schütz, Johann Jakob?",Es ist das Heil uns kommen her,Nürnberg 1523*,4430,Unknown,"4 (9.7, 86.6, 155.5, 251)"
355,Nun ruhen alle Wälder,chor355.krn,355/short_score.mxl,,44.7,44.7,108,354,354,355,In allen meinen Taten (15),"Fleming, Paul","O Welt, ich muss dich lassen",Anonymous,2293b,Exuadi (Sunday after Ascension),"9 (13.6, 97.9, 244.10, 244.37, 245.11, 392, 393, 394, 395)"
356,"Jesu, meine Freude",chor356.krn,356/short_score.mxl,,358,358,115,355,355,356,"Jesu, meine Freude","Franck, Johann","Jesu, meine Freude","Crüger, Johann",8032,Unknown,"6 (64.8, 81.7, 87.7, 227.1=227.11, 227.3, 227.7)"
357,Warum sollt ich mich denn grämen,chor357.krn,357/short_score.mxl,,422,422,117,356,356,357,Warum sollt ich mich denn grämen,"Gerhardt, Paul",Warum sollt ich mich denn grämen,"Ebeling, Johann Georg",6461,Unknown,1 (248.33)
358,Meine Seele erhebet den Herrn,chor358.krn,358/short_score.mxl,,10.7,10.7,118,357,357,358,Meine Seel erhebt den Herren [The German Magnificat],Luke 1:46ff,Meine Seel erhebt den Herren [The German Magnificat],Wittenberg 1535*,,Feast of the Visitation of Mary,"2 (323, 324)"
359,"Allein zu dir, Herr Jesu Christ",chor359.krn,359/short_score.mxl,,261,261,,358,358,359,"Allein zu dir, Herr Jesu Christ","Hubert, Konrad","Allein zu dir, Herr Jesu Christ",Wittenberg c.1541,7292b,Unknown,1 (33.6)
360,Wir Christenleut,chor360.krn,360/short_score.mxl,,248.35,248.35,124,359,359,360,Lasst Furcht und Pein (4),"Runge, Christoph",Wir Christenleut habn jetzund Freud,"Füger, Kaspar",2072,3rd Day of Christmas,"2 (40.3, 110.7)"
361,"Du Lebensfurst, Herr Jesu Christ",chor361.krn,361/short_score.mxl,,248.12,(248.12),134 =119,360 =9,360,361 =9,"Ermuntre dich, mein schwacher Geist (9)","Rist, Johann","Ermuntre dich, mein schwacher Geist","Schop, Johann",5741,2nd Day of Christmas,"2 (11.6, 43.11)"
362,Es ist gewißlich an der Zeit,chor362.krn,362/short_score.mxl,,248.59,248.59,121,361,361,362,Ich steh an deiner Krippen hier (1),"Gerhardt, Paul","Nun freut euch, lieben Christen gmein (melody #2)",Wittenberg 1529*,4429a,Feast of Epiphany,1 (307)
363,"O Welt, sieh hier dein Leben",chor363.krn,363/short_score.mxl,,395,395,,362,362,363,"O Welt, sieh hier dein Leben","Gerhardt, Paul","O Welt, ich muss dich lassen",Anonymous,2293b,Unknown,"9 (13.6, 44.7, 97.9, 244.10, 244.37, 245.11, 392, 393, 394)"
364,Von Gott will ich nicht lassen,chor364.krn,364/short_score.mxl,,417,417,135,363,363,364,Von Gott will ich nicht lassen,"Helmbold, Ludwig",Von Gott will ich nicht lassen,Erfurt 1563*,5264b,Unknown,"4 (73.5, 107.7, 418, 419)"
365,Jesu meiner Seelen Wonne,chor365.krn,365/short_score.mxl,,359,359,,364,364,365,"Jesu, meiner Seelen Wonne","Jahn, Martin",Werde munter mein Gemüte,"Schop, Johann",6551,Unknown,"6 (55.5, 146.8, 147.6=147.10, 154.3, 244.40, 360)"
366,"O Welt, sieh hier dein Leben",chor366.krn,366/short_score.mxl,,394,394,141,365,365,366,"O Welt, sieh hier dein Leben","Gerhardt, Paul","O Welt, ich muss dich lassen",Anonymous,2293b,Unknown,"9 (13.6, 44.7, 97.9, 244.10, 244.37, 245.11, 392, 393, 395)"
367,Befiehl du deine Wege,chor367.krn,367/short_score.mxl,,271,271,143,366,366,367,Befiehl du deine Wege,"Gerhardt, Paul",Befiehl du deine Wege (melody #1),"Hassler, Hans Leo",5385a,Unknown,"11 (135.6, 153.5, 161.6, 244.15, 244.17, 244.44, 244.54, 244.62, 248.5, 248.64, 270)"
368,"Hilf, Herr Jesu, laß gelingen",chor368.krn,368/short_score.mxl,,248.42,248.42,146,367,367,368,"Hilf, Herr Jesu, lass gelingen (15)","Rist, Johann","Hilf, Herr Jesu, lass gelingen (melody #2)","Bach, J.S.?",,New Year’s Day,0
369,"Jesu, der du meine Seele",chor369.krn,369/short_score.mxl,,354,354,145,368,368,369,"Jesu, der du meine Seele","Rist, Johann","Jesu, der du meine Seele",Frankfurt 1662*,6804,Unknown,"4 (78.7, 105.6, 352, 353)"
370,"Kommt her zu mir, spricht Gottes Sohn",chor370.krn,370/short_score.mxl,,74.8,74.8,112,369,369,370,"Gott Vater, sende deinen Geist (2)","Gerhardt, Paul","Kommt her zu mir, spricht Gottes Sohn",Nürnberg 1534*,2496c,Whit Sunday,1 (108.6)
371,Christ lag in Todesbanden,chor371.krn,371/short_score.mxl,,278,278,133,370,370,371,Christ lag in Todesbanden,"Luther, Martin",Christ lag in Todesbanden,"Luther, Martin*",7012a,Unknown,"4 (4.8, 158.4, 277, 279)"
