fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
247 Wenn wir in höchsten Nöten sein	1: 4/4	1: 1	9	9	32.0	9	9	32.0		128.0	178	68	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/247 Wenn wir in höchsten Nöten sein.mscz	False	43-74 (G2-D5)	cap	Sopran/Alt	61-74 (C#4-D5)	Tenor/Baß	43-64 (G2-E4)
248 Sei lob und Ehr dem höchsten Gut	1: 4/4	1: 1	12	12	40.0	17	17	56.0		160.0	206	72	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/248 Sei lob und Ehr dem höchsten Gut.mscz	False	43-79 (G2-G5)	cap	Sopran/Alt	60-79 (C4-G5)	Tenor/Baß	43-69 (G2-A4)
249 Allein Gott in der Höh sei Ehr	1: 4/4	1: 1	12	12	40.0	17	17	56.0		160.0	216	77	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/249 Allein Gott in der Höh sei Ehr.mscz	False	43-74 (G2-D5)	cap	Sopran/Alt	57-74 (A3-D5)	Tenor/Baß	43-65 (G2-F4)
250 Ein feste Burg ist unser Gott	1: 4/4	1: 2	13	13	44.0	18	18	60.0		176.0	240	79	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/250 Ein feste Burg ist unser Gott.mscz	False	43-74 (G2-D5)	cap	Sopran/Alt	57-74 (A3-D5)	Tenor/Baß	43-66 (G2-F#4)
251 Ich bin ja, Herr, in deiner Macht	1: 4/4	1: -2	12	12	40.0	19	19	64.0		160.0	204	73	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/251 Ich bin ja, Herr, in deiner Macht.mscz	False	43-79 (G2-G5)	cap	Sopran/Alt	62-79 (D4-G5)	Tenor/Baß	43-62 (G2-D4)
252 Jesu, nun sei gepreist	1: 4/4	1: -2	32	32	120.0	41	41	152.0		424.0	457	162	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/252 Jesu, nun sei gepreist.mscz	False	41-77 (F2-F5)	cap	Sopran/Alt	60-77 (C4-F5)	Tenor/Baß	41-65 (F2-F4)
253 Ach Gott, vom Himmel sieh darein	1: 4/4	1: -2	18	18	68.0	18	18	68.0		260.0	255	90	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/253 Ach Gott, vom Himmel sieh darein.mscz	False	41-74 (F2-D5)	cap	Sopran/Alt	60-74 (C4-D5)	Tenor/Baß	41-66 (F2-F#4)
254 Weg, mein Herz, mit den Gedanken	1: 4/4	1: 0	13	13	52.0	17	17	68.0		208.0	218	79	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/254 Weg, mein Herz, mit den Gedanken.mscz	False	43-81 (G2-A5)	cap	Sopran/Alt	59-81 (B3-A5)	Tenor/Baß	43-67 (G2-G4)
255 Was frag ich nach der Welt	1: 4/4	1: 2	17	17	64.0	17	17	64.0		252.0	249	84	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/255 Was frag ich nach der Welt.mscz	False	40-76 (E2-E5)	cap	Sopran/Alt	57-76 (A3-E5)	Tenor/Baß	40-66 (E2-F#4)
256 Jesu, deine tiefen Wunden	1: 4/4	1: -2	13	13	52.0	17	17	68.0		208.0	221	83	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/256 Jesu, deine tiefen Wunden.mscz	False	41-79 (F2-G5)	cap	Sopran/Alt	60-79 (C4-G5)	Tenor/Baß	41-67 (F2-G4)
